source_id,normalized_name,ra,dec,pgc,host_logmass,z_hd,z_hd_err,z_cmb,z_cmb_err,z_hel,z_hel_err,vpec,vpecerr,pantheon_id,separation_arcsec,sigma_measured,sigma_inferred,log_d25,r25_arcsec,r_eff_arcsec
LMC_GRND,LMC,80.89416666666666,-69.75611111111111,17223,,,,,,,,,,,,27.411764705882355,27.411764705882355,3.809999942779541,19369.625,9684.8125
M101,M 101,210.80242916666668,54.34875,50063,10.677,0.00122,0.00084,0.00122,2e-05,0.00082,2e-05,0.0,250.0,2011fe,276.6985076274426,23.600000381469727,23.600000381469727,2.4600000381469727,865.20947265625,432.604736328125
M1337,NGC 1337,52.02482916666667,-8.388619444444442,12916,,,,,,,,,,,,93.66356004916808,93.66356004916808,1.7599999904632568,172.63197326660156,86.31598663330078
M31,M 31,10.684708333333331,41.26875,2557,,,,,,,,,,,,169.8000030517578,169.8000030517578,3.2799999713897705,5716.3818359375,2858.19091796875
N0691,NGC 0691,27.673786536389997,21.759970445709996,6793,10.827,0.00855,0.00084,0.00861,2e-05,0.00954,2e-05,15.8947,250.0,2005W,56.21610210131819,107.5,107.5,1.5399999618530273,104.02104949951172,52.01052474975586
N1015,NGC 1015,39.54813215151,-1.3187773861799998,9988,9.906,0.00815,0.00084,0.00801,2e-05,0.00877,2e-05,-43.0674,250.0,2009ig,22.619141847191347,106.5,106.5,1.4199999570846558,78.90803527832031,39.454017639160156
N105A,NGC 105,6.31979949466,12.88386496266,1583,10.123,0.01682,0.00085,0.01646,9e-05,0.01765,9e-05,-104.478,250.0,2007A,10.658738312317682,56.70588235294118,56.70588235294118,1.0499999523162842,33.66054916381836,16.83027458190918
N1309,NGC 1309,50.52731207393,-15.39994213692,12626,9.89,0.00719,0.00085,0.00668,0.00015,0.00719,0.00015,-152.591,250.0,2002fk,12.667845748592352,82.0,82.0,1.340000033378601,65.63285827636719,32.816429138183594
N1365,NGC 1365,53.40190833333333,-36.140658333333334,13179,10.732,0.00483,0.00085,0.0046,0.00015,0.00492,0.00015,-67.5086,250.0,2012fr,49.12435147913568,151.39999389648438,151.39999389648438,2.049999952316284,336.6054992675781,168.30274963378906
N1448,NGC 1448,56.132979166666665,-44.644827777777785,13727,11.28,0.00333,0.00084,0.00357,1e-05,0.00379,1e-05,71.5597,250.0,2001el,22.903638799607837,129.88448326846657,129.88448326846657,1.8799999952316284,227.57327270507812,113.78663635253906
N1559,NGC 1559,64.3989619176,-62.78368099094,14814,9.552,0.00407,0.00084,0.00435,1e-05,0.00435,1e-05,86.1777,250.0,2005df_ANU,53.734349345457694,72.62999725341797,72.62999725341797,1.5399999618530273,104.02104949951172,52.01052474975586
N2442,NGC 2442,114.09904189399002,-69.53083273787,21373,12.198,0.00488,0.00084,0.00515,2e-05,0.00476,2e-05,80.5777,250.0,2015F,97.30833663299931,144.1558096642322,144.1558096642322,1.7400000095367432,164.86227416992188,82.43113708496094
N2525,NGC 2525,121.40849930031004,-11.427045532359998,22721,10.06,0.00602,0.00085,0.00596,0.00015,0.0051,0.00015,-18.777,250.0,2018gv,64.37758304478365,86.51095659398678,86.51095659398678,1.4600000381469727,86.52095031738281,43.260475158691406
N2608,NGC 2608,128.82220753716,28.473398979510005,24111,10.449,0.00855,0.00084,0.00796,1e-05,0.00719,1e-05,-174.166,250.0,2001bg,28.266810170067377,86.61143545918993,86.61143545918993,1.3600000143051147,68.72603607177734,34.36301803588867
N3021,NGC 3021,147.73810673169,33.55359289002,28357,10.296,0.00673,0.00084,0.00592,6e-05,0.00504,6e-05,-242.468,250.0,1995al,15.732375475256362,57.29999923706055,57.29999923706055,1.2000000476837158,47.54679870605469,23.773399353027344
N3147,NGC 3147,154.22349524198,73.40073383283999,30019,8.37261,0.01079,0.00084,0.00993,2e-05,0.00973,2e-05,-255.903,250.0,2008fv_comb,37.29665495870542,219.8000030517578,219.8000030517578,1.590000033378601,116.71355438232422,58.35677719116211
N3254,NGC 3254,157.33300833333334,29.491438888888887,30895,10.63,0.00648,0.00084,0.0055,0.0,0.00452,0.0,-289.936,250.0,2019np,74.5115135659872,117.8000030517578,117.8000030517578,1.7000000476837158,150.35618591308594,75.17809295654297
N3370,NGC 3370,161.76697273869,17.27369871105,32207,10.196,0.00588,0.00084,0.0054,1e-05,0.00427,1e-05,-144.588,250.0,1994ae,31.314751246021032,94.5999984741211,94.5999984741211,1.5,94.86833190917969,47.434165954589844
N3447,NGC 3447,163.34986296531,16.77242823926,32694,9.53,0.00465,0.00084,0.00465,2e-05,0.00352,2e-05,-0.2973,250.0,2012ht,22.03175875380119,67.77873663823307,67.77873663823307,1.5700000524520874,111.46057891845703,55.730289459228516
N3583,NGC 3583,168.5457458333333,48.318377777777776,34232,10.95,0.00857,0.00084,0.00773,1e-05,0.00702,1e-05,-249.339,250.0,ASASSN-15so,1.3098966680831907,131.6999969482422,131.6999969482422,1.4500000476837158,84.55149841308594,42.27574920654297
